Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
ARO:3000194|ID:389|Name:tetW|NCBI:AJ222769.3	tetW	3000194	protein homolog model	CARD	CARD curation	no data	no data	Butyrivibrio fibrisolvens	1604	167	1771	100.00	1920	16.44	ARO:3004442|ID:2882|Name:tet(W/N/W)|NCBI:KU736867.1	1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3002937|ID:390|Name:vanSG|NCBI:DQ212986	vanSG	3002937	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	2	2	4	9.30	103	11.00		1107	vanS; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
ARO:3002686|ID:477|Name:catP|NCBI:U15027	catP	3002686	protein homolog model	CARD	CARD curation	no data	no data	Clostridium perfringens	127	35	162	100.00	624	30.17		624	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
ARO:3000166|ID:458|Name:tet(B)|NCBI:AB089595	tet(B)	3000166	protein homolog model	CARD	CARD curation	no data	no data	Gram-negative bacterium	2	2	4	9.54	115	22.00		1206	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ARO:3000535|ID:487|Name:macB|NCBI:AY768532	macB	3000535	protein homolog model	CARD	CARD curation	no data	no data	Neisseria gonorrhoeae	7	7	14	8.99	174	11.00		1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
ARO:3000180|ID:508|Name:tetA(P)|NCBI:L20800	tetA(P)	3000180	protein homolog model	CARD	CARD curation	no data	no data	Clostridium perfringens	8	0	8	44.81	566	41.25		1263	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ARO:3002956|ID:556|Name:vanYB|NCBI:U35369	vanYB	3002956	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	2	0	2	28.38	229	44.00		807	vanY; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration
ARO:3001329|ID:603|Name:mdtG|NCBI:CP000800.1	mdtG	3001329	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	5	3	8	38.22	469	22.50		1227	major facilitator superfamily (MFS) antibiotic efflux pump	fosfomycin	antibiotic efflux
ARO:3003551|ID:618|Name:emeA|NCBI:AB091338	emeA	3003551	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	2	0	2	17.09	202	44.00		1182	multidrug and toxic compound extrusion (MATE) transporter	acridine dye	antibiotic efflux
ARO:3000498|ID:621|Name:ErmF|NCBI:M17124	ErmF	3000498	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides fragilis	835	193	1028	100.00	801	32.58	ARO:3004720|ID:3402|Name:Tet(X4)|NCBI:MK134376.1; ARO:3000205|ID:776|Name:tetX|NCBI:M37699	801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ARO:3002919|ID:722|Name:vanRA|NCBI:M97297	vanRA	3002919	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	2	2	4	9.91	69	11.00		696	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
ARO:3003001|ID:741|Name:CfxA|NCBI:U38243	CfxA	3003001	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides vulgatus	111	9	120	97.41	941	0.90	ARO:3003096|ID:833|Name:CfxA5|NCBI:AY769934; ARO:3003005|ID:294|Name:CfxA4|NCBI:AY769933; ARO:3003003|ID:1895|Name:CfxA3|NCBI:AF472622; ARO:3003002|ID:174|Name:CfxA2|NCBI:AF118110.1; ARO:3003097|ID:268|Name:CfxA6|NCBI:GQ342996	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002871|ID:774|Name:tet37|NCBI:AF540889	tet37	3002871	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	1	1	2	23.55	77	11.00		327	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation
ARO:3000205|ID:776|Name:tetX|NCBI:M37699	tetX	3000205	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides fragilis	1197	101	1298	100.00	1167	21.08	ARO:3005057|ID:3798|Name:Tet(X5)|NCBI:NZ_CP040912.1; ARO:3004720|ID:3402|Name:Tet(X4)|NCBI:MK134376.1; ARO:3005056|ID:3797|Name:Tet(X6)|NCBI:MN507533.1; ARO:3004719|ID:3401|Name:Tet(X3)|NCBI:MK134375.1; ARO:3000498|ID:621|Name:ErmF|NCBI:M17124	1167	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation
ARO:3000195|ID:804|Name:tetB(P)|NCBI:L20800	tetB(P)	3000195	protein homolog model	CARD	CARD curation	no data	no data	Clostridium perfringens	4	0	4	23.43	459	44.00		1959	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3000237|ID:826|Name:TolC|NCBI:FJ768952	tolC	3000237	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	1	2	7.73	115	22.00		1488	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan; penem	antibiotic efflux
ARO:3003096|ID:833|Name:CfxA5|NCBI:AY769934	CfxA5	3003096	protein homolog model	CARD	CARD curation	no data	no data	Parabacteroides distasonis	273	18	291	100.00	966	5.32	ARO:3003003|ID:1895|Name:CfxA3|NCBI:AF472622; ARO:3003005|ID:294|Name:CfxA4|NCBI:AY769933; ARO:3003002|ID:174|Name:CfxA2|NCBI:AF118110.1; ARO:3003001|ID:741|Name:CfxA|NCBI:U38243	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200	smeE	3003056	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	8	6	14	5.70	178	12.57		3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
ARO:3002659|ID:892|Name:APH(6)-Ic|NCBI:X01702	APH(6)-Ic	3002659	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3	3	6	3.62	29	11.00		801	APH(6)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002626|ID:914|Name:ANT(6)-Ia|NCBI:KF648874.1	ANT(6)-Ia	3002626	protein homolog model	CARD	CARD curation	no data	no data	Exiguobacterium sp.	10	1	11	76.50	661	29.82	ARO:3002647|ID:1332|Name:APH(3')-IIIa|NCBI:CP004067	864	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002817|ID:928|Name:carA|NCBI:M80346	carA	3002817	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces thermotolerans	4	4	8	3.74	62	11.00		1656	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3000596|ID:950|Name:ErmX|NCBI:M36726.1	ErmX	3000596	protein homolog model	CARD	CARD curation	no data	no data	Plasmid pNG2	1	1	2	13.45	115	22.00		855	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ARO:3000567|ID:945|Name:tet(40)|NCBI:AM419751	tet(40)	3000567	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	62	9	71	100.00	1221	36.56	ARO:3000190|ID:2020|Name:tetO|NCBI:M18896.2	1221	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ARO:3003577|ID:842|Name:ugd|NCBI:U00096	ugd	3003577	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	5	5	10	9.60	112	11.00		1167	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
ARO:3000522|ID:989|Name:ErmG|NCBI:L42817	ErmG	3000522	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides thetaiotaomicron	27	5	32	100.00	735	32.12		735	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ARO:3002923|ID:1004|Name:vanRD|NCBI:AY082011	vanRD	3002923	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	13	13	26	12.02	84	11.00		699	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
ARO:3002688|ID:1047|Name:catS|NCBI:X74948	catS	3002688	protein homolog model	CARD	CARD curation	no data	no data	Streptococcus pyogenes	58	14	72	100.00	492	20.68		492	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
ARO:3000216|ID:1104|Name:acrB|NCBI:U00096.3	acrB	3000216	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	4	0	4	14.19	447	42.00		3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux
ARO:3002629|ID:1113|Name:ANT(6)-Ib|NCBI:FN594949	ANT(6)-Ib	3002629	protein homolog model	CARD	CARD curation	no data	no data	Campylobacter fetus	21	11	32	72.49	622	21.19		858	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002909|ID:1157|Name:vanG|NCBI:DQ212986	vanG	3002909	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	5	0	5	32.29	339	44.00	ARO:3003069|ID:253|Name:vanXYG|NCBI:DQ212986	1050	glycopeptide resistance gene cluster; van ligase	glycopeptide antibiotic	antibiotic target alteration
ARO:3003111|ID:1161|Name:lsaB|NCBI:AJ579365.1	lsaB	3003111	protein homolog model	CARD	CARD curation	no data	no data	Staphylococcus sciuri	1	1	2	2.57	38	11.00		1479	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3000556|ID:1171|Name:tet(44)|NCBI:FN594949	tet44	3000556	protein homolog model	CARD	CARD curation	no data	no data	Campylobacter fetus	118	2	120	87.57	1684	43.03		1923	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3000191|ID:1183|Name:tetQ|NCBI:Z21523	tetQ	3000191	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides fragilis	7238	308	7546	100.00	1974	40.30		1974	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3002841|ID:1189|Name:vatB|NCBI:U19459	vatB	3002841	protein homolog model	CARD	CARD curation	no data	no data	Staphylococcus aureus	1	1	2	9.23	59	11.00		639	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation
ARO:3002522|ID:1210|Name:novA|NCBI:AF170880	novA	3002522	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces niveus	2	2	4	7.14	132	11.00		1848	ATP-binding cassette (ABC) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1	mel	3000616	protein homolog model	CARD	CARD curation	no data	no data	Streptococcus pyogenes	33	1	34	87.68	1068	40.24		1218	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3000196|ID:1233|Name:tet32|NCBI:EU722333.1	tet32	3000196	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	216	17	233	100.00	1920	37.93	ARO:3000190|ID:2020|Name:tetO|NCBI:M18896.2	1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3002891|ID:1273|Name:otr(A)|NCBI:X53401	otr(A)	3002891	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces rimosus	1	1	2	3.21	64	11.00		1992	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3000300|ID:1298|Name:lsaA|NCBI:AY225127.1	lsaA	3000300	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	8	0	8	36.81	551	41.25		1497	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3000794|ID:1315|Name:mdtC|NCBI:U00096	mdtC	3000794	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	6	0	6	19.40	597	35.33		3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
ARO:3002647|ID:1332|Name:APH(3')-IIIa|NCBI:CP004067	APH(3')-IIIa	3002647	protein homolog model	CARD	CARD curation	no data	no data	Campylobacter coli	127	15	142	100.00	795	38.64	ARO:3002897|ID:1505|Name:SAT-4|NCBI:U01945; ARO:3002626|ID:914|Name:ANT(6)-Ia|NCBI:KF648874.1	795	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3000828|ID:1337|Name:baeR|NCBI:AP009048.1	baeR	3000828	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	1	2	15.91	115	18.00		723	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
ARO:3003036|ID:1388|Name:oleB|NCBI:L36601	oleB	3003036	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces antibioticus	9	7	16	4.62	79	12.38		1710	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3000491|ID:1427|Name:acrD|NCBI:AP009048.1	acrD	3000491	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	3	1	4	8.77	273	27.50		3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
ARO:3000604|ID:1434|Name:Erm(35)|NCBI:AF319779.2	Erm(35)	3000604	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides coprosuis	10	10	20	5.87	47	0.00		801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ARO:3000502|ID:1437|Name:AcrF|NCBI:U00096	acrF	3000502	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	10	0	10	33.46	1039	38.00		3105	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
ARO:3000499|ID:1445|Name:AcrE|NCBI:U00096	acrE	3000499	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	19.60	227	42.00		1158	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
ARO:3000375|ID:1549|Name:ErmB|NCBI:AF242872.1	ErmB	3000375	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	440	58	498	100.00	747	38.04		747	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ARO:3002972|ID:1561|Name:vanTG|NCBI:DQ212986	vanTG	3002972	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	5	1	6	15.90	340	33.00	ARO:3003069|ID:253|Name:vanXYG|NCBI:DQ212986	2139	glycopeptide resistance gene cluster; vanT	glycopeptide antibiotic	antibiotic target alteration
ARO:3002628|ID:1562|Name:aad(6)|NCBI:AY712687	aad(6)	3002628	protein homolog model	CARD	CARD curation	no data	no data	Streptococcus oralis	17	1	18	66.91	556	40.33	ARO:3002897|ID:1505|Name:SAT-4|NCBI:U01945	831	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002907|ID:1617|Name:vanE|NCBI:FJ872411	vanE	3002907	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	2	2	4	3.12	33	6.00		1059	glycopeptide resistance gene cluster; van ligase	glycopeptide antibiotic	antibiotic target alteration
ARO:3002897|ID:1505|Name:SAT-4|NCBI:U01945	SAT-4	3002897	protein homolog model	CARD	CARD curation	no data	no data	Campylobacter coli	46	13	59	100.00	543	29.75	ARO:3002628|ID:1562|Name:aad(6)|NCBI:AY712687; ARO:3002647|ID:1332|Name:APH(3')-IIIa|NCBI:CP004067	543	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation
ARO:3002926|ID:1635|Name:vanRG|NCBI:DQ212986	vanRG	3002926	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	1	1	2	10.03	71	11.00		708	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
ARO:3002985|ID:1643|Name:arnA|NCBI:AE004091.2	arnA	3002985	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	4	0	4	16.84	335	24.00		1989	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
ARO:3003559|ID:1677|Name:cepA|NCBI:U05883	cepA beta-lactamase	3003559	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides fragilis	1	1	2	12.51	113	12.00		903	cepA beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3000186|ID:1692|Name:tetM|NCBI:AB039845.1	tetM	3000186	protein homolog model	CARD	CARD curation	no data	no data	Erysipelothrix rhusiopathiae	42	6	48	92.60	1778	35.25		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3003112|ID:1748|Name:lsaC|NCBI:HM990671	lsaC	3003112	protein homolog model	CARD	CARD curation	no data	no data	Streptococcus agalactiae	10	0	10	51.79	766	42.40		1479	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3000027|ID:1757|Name:emrA|NCBI:AP009048	emrA	3000027	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	16.54	194	44.00		1173	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ARO:3000074|ID:1847|Name:emrB|NCBI:U00096	emrB	3000074	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	14.81	228	1.00		1539	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ARO:3002666|ID:1852|Name:rmtF|NCBI:JQ808129	rmtF	3002666	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	2	0	2	29.49	230	44.00		780	16S rRNA methyltransferase (G1405)	aminoglycoside antibiotic	antibiotic target alteration
ARO:3003003|ID:1895|Name:CfxA3|NCBI:AF472622	CfxA3	3003003	protein homolog model	CARD	CARD curation	no data	no data	Capnocytophaga ochracea	290	25	315	100.00	966	5.80	ARO:3003096|ID:833|Name:CfxA5|NCBI:AY769934; ARO:3003097|ID:268|Name:CfxA6|NCBI:GQ342996; ARO:3003001|ID:741|Name:CfxA|NCBI:U38243; ARO:3003002|ID:174|Name:CfxA2|NCBI:AF118110.1	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
ARO:3003052|ID:1960|Name:smeB|NCBI:AF173226	smeB	3003052	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	2	2	4	4.76	150	11.00		3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
ARO:3002827|ID:1997|Name:tlrC|NCBI:M57437	tlrC	3002827	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces fradiae	1	1	2	1.76	29	11.00		1647	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3001392|ID:1999|Name:TEM-215|NCBI:KP050492	TEM-215	3001392	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	26.71	230	1.00		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ARO:3000190|ID:2020|Name:tetO|NCBI:M18896.2	tetO	3000190	protein homolog model	CARD	CARD curation	no data	no data	Campylobacter jejuni	2040	162	2202	100.00	1920	39.55	ARO:3000196|ID:1233|Name:tet32|NCBI:EU722333.1; ARO:3000567|ID:945|Name:tet(40)|NCBI:AM419751	1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3002819|ID:2054|Name:msrC|NCBI:AF313494	msrC	3002819	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	2	0	2	15.35	227	42.00		1479	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3003549|ID:2056|Name:mdtO|NCBI:AP009048.1	mdtO	3003549	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	4	0	4	11.06	227	32.00		2052	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; acridine dye	antibiotic efflux
ARO:3000024|ID:2081|Name:patA|NCBI:AE005672.3	patA	3000024	protein homolog model	CARD	CARD curation	no data	no data	Streptococcus pneumoniae	2	0	2	13.57	230	41.00		1695	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ARO:3000025|ID:2112|Name:patB|NCBI:AE005672.3	patB	3000025	protein homolog model	CARD	CARD curation	no data	no data	Streptococcus pneumoniae	3	1	4	15.45	273	26.50		1767	ATP-binding cassette (ABC) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
ARO:3004601|ID:3301|Name:LnuP|NCBI:FJ589781.1	LnuP	3004601	protein homolog model	CARD	CARD curation	no data	no data	Clostridium perfringens	10	2	12	76.85	385	35.67		501	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
ARO:3004612|ID:3307|Name:Escherichia_coli_ampH_beta-lactamase|NCBI:AP012030.1	Escherichia coli ampH	3004612	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	15.72	182	28.00		1158	ampC-type beta-lactamase	cephalosporin; penam	antibiotic inactivation
