Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
ARO:3000498|ID:621|Name:ErmF|NCBI:M17124	ErmF	3000498	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides fragilis	913	116	1029	100.00	801	34.20	ARO:3000191|ID:1183|Name:tetQ|NCBI:Z21523; ARO:3000604|ID:1434|Name:Erm(35)|NCBI:AF319779.2; ARO:3000205|ID:776|Name:tetX|NCBI:M37699; ARO:3004720|ID:3402|Name:Tet(X4)|NCBI:MK134376.1	801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ARO:3003576|ID:516|Name:eptA|NCBI:AP009048	eptA	3003576	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	1	2	6.02	99	11.00		1644	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
ARO:3003001|ID:741|Name:CfxA|NCBI:U38243	CfxA	3003001	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides vulgatus	370	22	392	95.13	919	0.85	ARO:3003002|ID:174|Name:CfxA2|NCBI:AF118110.1; ARO:3003003|ID:1895|Name:CfxA3|NCBI:AF472622; ARO:3003096|ID:833|Name:CfxA5|NCBI:AY769934; ARO:3003005|ID:294|Name:CfxA4|NCBI:AY769933	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
ARO:3002928|ID:752|Name:vanRM|NCBI:FJ349556	vanRM	3002928	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	1	1	2	4.58	32	1.00		699	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
ARO:3000205|ID:776|Name:tetX|NCBI:M37699	tetX	3000205	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides fragilis	965	24	989	100.00	1167	22.23	ARO:3005057|ID:3798|Name:Tet(X5)|NCBI:NZ_CP040912.1; ARO:3004720|ID:3402|Name:Tet(X4)|NCBI:MK134376.1; ARO:3004719|ID:3401|Name:Tet(X3)|NCBI:MK134375.1; ARO:3000498|ID:621|Name:ErmF|NCBI:M17124; ARO:3000191|ID:1183|Name:tetQ|NCBI:Z21523	1167	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation
ARO:3000195|ID:804|Name:tetB(P)|NCBI:L20800	tetB(P)	3000195	protein homolog model	CARD	CARD curation	no data	no data	Clostridium perfringens	4	0	4	15.77	309	44.00		1959	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3001037|ID:808|Name:TEM-171|NCBI:GQ149347	TEM-171	3001037	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	30.55	263	1.00		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ARO:3000793|ID:820|Name:mdtB|NCBI:U00096	mdtB	3000793	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	9.61	300	22.00		3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
ARO:3003096|ID:833|Name:CfxA5|NCBI:AY769934	CfxA5	3003096	protein homolog model	CARD	CARD curation	no data	no data	Parabacteroides distasonis	431	45	476	100.00	966	0.83	ARO:3003005|ID:294|Name:CfxA4|NCBI:AY769933; ARO:3003002|ID:174|Name:CfxA2|NCBI:AF118110.1; ARO:3003001|ID:741|Name:CfxA|NCBI:U38243; ARO:3003003|ID:1895|Name:CfxA3|NCBI:AF472622	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
ARO:3000935|ID:836|Name:TEM-68|NCBI:AJ239002	TEM-68	3000935	protein homolog model	CARD	CARD curation	no data	no data	Klebsiella pneumoniae	2	0	2	21.60	186	1.00		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200	smeE	3003056	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	4	0	4	6.79	212	11.00		3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux
ARO:3002817|ID:928|Name:carA|NCBI:M80346	carA	3002817	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces thermotolerans	5	1	6	1.99	33	18.33		1656	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3000596|ID:950|Name:ErmX|NCBI:M36726.1	ErmX	3000596	protein homolog model	CARD	CARD curation	no data	no data	Plasmid pNG2	5	1	6	47.49	406	36.67		855	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ARO:3000412|ID:952|Name:sul2|NCBI:AY055428.1	sul2	3000412	protein homolog model	CARD	CARD curation	no data	no data	Vibrio cholerae	16	4	20	98.53	804	33.30		816	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement
ARO:3001001|ID:960|Name:TEM-137|NCBI:AM286274	TEM-137	3001001	protein homolog model	CARD	CARD curation	no data	no data	Shigella sonnei	2	0	2	21.60	186	1.00		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ARO:3000567|ID:945|Name:tet(40)|NCBI:AM419751	tet(40)	3000567	protein homolog model	CARD	CARD curation	no data	no data	uncultured bacterium	53	5	58	100.00	1221	39.21		1221	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux
ARO:3002881|ID:974|Name:lmrC|NCBI:EU124663.1	lmrC	3002881	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces lincolnensis	8	4	12	4.66	77	14.67		1653	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3000522|ID:989|Name:ErmG|NCBI:L42817	ErmG	3000522	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides thetaiotaomicron	902	56	958	100.00	735	37.00		735	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ARO:3002688|ID:1047|Name:catS|NCBI:X74948	catS	3002688	protein homolog model	CARD	CARD curation	no data	no data	Streptococcus pyogenes	1	1	2	12.80	63	11.00		492	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation
ARO:3000216|ID:1104|Name:acrB|NCBI:U00096.3	acrB	3000216	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	12	5	17	6.70	211	15.29	ARO:3004041|ID:2659|Name:Klebsiella_pneumoniae_acrA|NCBI:AJ318073.1	3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; triclosan	antibiotic efflux
ARO:3002629|ID:1113|Name:ANT(6)-Ib|NCBI:FN594949	ANT(6)-Ib	3002629	protein homolog model	CARD	CARD curation	no data	no data	Campylobacter fetus	14	4	18	29.37	252	17.78		858	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3000957|ID:1137|Name:TEM-90|NCBI:AF351241	TEM-90	3000957	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	4	0	4	47.50	409	1.00		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ARO:3002909|ID:1157|Name:vanG|NCBI:DQ212986	vanG	3002909	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	2	0	2	24.00	252	44.00		1050	glycopeptide resistance gene cluster; van ligase	glycopeptide antibiotic	antibiotic target alteration
ARO:3000556|ID:1171|Name:tet(44)|NCBI:FN594949	tet44	3000556	protein homolog model	CARD	CARD curation	no data	no data	Campylobacter fetus	12	0	12	33.91	652	41.00		1923	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3000191|ID:1183|Name:tetQ|NCBI:Z21523	tetQ	3000191	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides fragilis	8619	255	8874	100.00	1974	40.25	ARO:3000205|ID:776|Name:tetX|NCBI:M37699; ARO:3000498|ID:621|Name:ErmF|NCBI:M17124	1974	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3003157|ID:1218|Name:TEM-219|NCBI:KM114268	TEM-219	3003157	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	34.96	301	1.00		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ARO:3000616|ID:1231|Name:mel|NCBI:AF227521.1	mel	3000616	protein homolog model	CARD	CARD curation	no data	no data	Streptococcus pyogenes	1065	61	1126	100.00	1218	37.97		1218	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3000196|ID:1233|Name:tet32|NCBI:EU722333.1	tet32	3000196	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	59	2	61	62.76	1205	32.31	ARO:3000190|ID:2020|Name:tetO|NCBI:M18896.2	1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3003010|ID:1252|Name:ceoB|NCBI:U97042	ceoB	3003010	protein homolog model	CARD	CARD curation	no data	no data	Burkholderia cepacia	1	1	2	1.65	51	11.00		3084	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux
ARO:3002647|ID:1332|Name:APH(3')-IIIa|NCBI:CP004067	APH(3')-IIIa	3002647	protein homolog model	CARD	CARD curation	no data	no data	Campylobacter coli	35	4	39	100.00	795	38.87	ARO:3002897|ID:1505|Name:SAT-4|NCBI:U01945	795	APH(3')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002630|ID:1386|Name:ANT(9)-Ia|NCBI:X02588.1	ANT(9)-Ia	3002630	protein homolog model	CARD	CARD curation	no data	no data	Staphylococcus aureus	2	0	2	12.13	95	22.00		783	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3000491|ID:1427|Name:acrD|NCBI:AP009048.1	acrD	3000491	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	5.43	169	22.00		3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic	antibiotic efflux
ARO:3000604|ID:1434|Name:Erm(35)|NCBI:AF319779.2	Erm(35)	3000604	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides coprosuis	35	10	45	23.85	191	0.64	ARO:3000498|ID:621|Name:ErmF|NCBI:M17124	801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ARO:3000502|ID:1437|Name:AcrF|NCBI:U00096	acrF	3000502	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	0.90	28	22.00		3105	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
ARO:3001034|ID:1528|Name:TEM-168|NCBI:FJ919776	TEM-168	3001034	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	20.91	180	1.00		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ARO:3000375|ID:1549|Name:ErmB|NCBI:AF242872.1	ErmB	3000375	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecium	135	13	148	100.00	747	38.00		747	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ARO:3002972|ID:1561|Name:vanTG|NCBI:DQ212986	vanTG	3002972	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	14	2	16	64.56	1381	36.88	ARO:3003069|ID:253|Name:vanXYG|NCBI:DQ212986	2139	glycopeptide resistance gene cluster; vanT	glycopeptide antibiotic	antibiotic target alteration
ARO:3002628|ID:1562|Name:aad(6)|NCBI:AY712687	aad(6)	3002628	protein homolog model	CARD	CARD curation	no data	no data	Streptococcus oralis	9	0	9	62.45	519	24.00	ARO:3002897|ID:1505|Name:SAT-4|NCBI:U01945	831	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3002897|ID:1505|Name:SAT-4|NCBI:U01945	SAT-4	3002897	protein homolog model	CARD	CARD curation	no data	no data	Campylobacter coli	12	0	12	77.53	421	29.00	ARO:3002628|ID:1562|Name:aad(6)|NCBI:AY712687; ARO:3002647|ID:1332|Name:APH(3')-IIIa|NCBI:CP004067	543	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation
ARO:3002926|ID:1635|Name:vanRG|NCBI:DQ212986	vanRG	3002926	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	1	1	2	10.03	71	11.00		708	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
ARO:3000808|ID:1647|Name:MexI|NCBI:AE004091.2	mexI	3000808	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	2	0	2	1.33	41	22.00		3090	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye	antibiotic efflux
ARO:3003559|ID:1677|Name:cepA|NCBI:U05883	cepA beta-lactamase	3003559	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides fragilis	2	0	2	25.91	234	22.00		903	cepA beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3000186|ID:1692|Name:tetM|NCBI:AB039845.1	tetM	3000186	protein homolog model	CARD	CARD curation	no data	no data	Erysipelothrix rhusiopathiae	83	1	84	99.27	1906	40.25		1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3003112|ID:1748|Name:lsaC|NCBI:HM990671	lsaC	3003112	protein homolog model	CARD	CARD curation	no data	no data	Streptococcus agalactiae	7	1	8	36.92	546	35.75		1479	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3002597|ID:1814|Name:AAC(6')-Ie-APH(2'')-Ia|NCBI:GU565967.1	AAC(6')-Ie-APH(2'')-Ia	3002597	protein homolog model	CARD	CARD curation	no data	no data	Staphylococcus aureus	2	0	2	9.03	130	36.00		1440	APH(2''); AAC(6')	aminoglycoside antibiotic	antibiotic inactivation
ARO:3000949|ID:1868|Name:TEM-82|NCBI:AF427128	TEM-82	3000949	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	13	1	14	80.72	695	5.93		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ARO:3003003|ID:1895|Name:CfxA3|NCBI:AF472622	CfxA3	3003003	protein homolog model	CARD	CARD curation	no data	no data	Capnocytophaga ochracea	519	36	555	100.00	966	2.72	ARO:3003005|ID:294|Name:CfxA4|NCBI:AY769933; ARO:3003001|ID:741|Name:CfxA|NCBI:U38243; ARO:3003097|ID:268|Name:CfxA6|NCBI:GQ342996; ARO:3003096|ID:833|Name:CfxA5|NCBI:AY769934	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
ARO:3000811|ID:1938|Name:mtrD|NCBI:AE002098.2	mtrD	3000811	protein homolog model	CARD	CARD curation	no data	no data	Neisseria meningitidis	4	2	6	1.81	58	14.67		3204	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; penam	antibiotic efflux
ARO:3000378|ID:1925|Name:MexB|NCBI:L11616	MexB	3000378	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	4	0	4	5.03	158	2.00		3141	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem	antibiotic efflux
ARO:3003052|ID:1960|Name:smeB|NCBI:AF173226	smeB	3003052	protein homolog model	CARD	CARD curation	no data	no data	Stenotrophomonas maltophilia	36	22	58	2.13	67	11.93		3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; cephalosporin; cephamycin; penam	antibiotic efflux
ARO:3000968|ID:1961|Name:TEM-105|NCBI:AF516720	TEM-105	3000968	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	17.54	151	1.00	ARO:3001044|ID:3751|Name:TEM-181|NCBI:NG_050218.1	861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ARO:3001049|ID:2004|Name:TEM-189|NCBI:JN254627	TEM-189	3001049	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	30.55	263	1.00		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ARO:3000190|ID:2020|Name:tetO|NCBI:M18896.2	tetO	3000190	protein homolog model	CARD	CARD curation	no data	no data	Campylobacter jejuni	810	37	847	100.00	1920	40.74	ARO:3000196|ID:1233|Name:tet32|NCBI:EU722333.1	1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection
ARO:3004601|ID:3301|Name:LnuP|NCBI:FJ589781.1	LnuP	3004601	protein homolog model	CARD	CARD curation	no data	no data	Clostridium perfringens	4	0	4	55.89	280	44.00		501	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation
ARO:3003031|ID:2208|Name:MexW|NCBI:NC_002516.2	mexW	3003031	protein homolog model	CARD	CARD curation	no data	no data	Pseudomonas aeruginosa	11	7	18	3.93	120	11.22		3057	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; acridine dye; phenicol antibiotic	antibiotic efflux
ARO:3003728|ID:2246|Name:vanRI|NCBI:AP008230.1	vanRI	3003728	protein homolog model	CARD	CARD curation	no data	no data	Desulfitobacterium hafniense	9	5	14	6.01	42	14.14		699	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration
ARO:3003730|ID:2278|Name:Bifidobacterium_bifidum_ileS_conferring_resistance_to_mupirocin|NCBI:CP001840.1	Bifidobacteria intrinsic ileS conferring resistance to mupirocin	3003730	protein homolog model	CARD	CARD curation	no data	no data	Bifidobacterium bifidum	2	0	2	3.58	119	22.00		3324	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin	antibiotic target alteration
ARO:3004626|ID:3324|Name:Erm(49)|NCBI:MWVR01000009.1	Erm(49)	3004626	protein homolog model	CARD	CARD curation	no data	no data	Bifidobacterium breve	4	0	4	43.61	399	44.00		915	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration
ARO:3003158|ID:2398|Name:TEM-220|NCBI:KM998962.1	TEM-220	3003158	protein homolog model	CARD	CARD curation	no data	no data	Neisseria gonorrhoeae	2	0	2	24.85	214	1.00		861	TEM beta-lactamase	monobactam; cephalosporin; penam; penem	antibiotic inactivation
ARO:3003922|ID:2399|Name:oqxA|NCBI:EU370913.1	oqxA	3003922	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	2	0	2	8.93	105	28.00		1176	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux
ARO:3003923|ID:2400|Name:oqxB|NCBI:EU370913.1	oqxB	3003923	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	1	2	1.59	50	11.00		3153	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic	antibiotic efflux
ARO:3004659|ID:3359|Name:Mef(En2)|NCBI:AF251288.1	Mef(En2)	3004659	protein homolog model	CARD	CARD curation	no data	no data	Bacteroides fragilis	145	5	150	100.00	1206	40.81		1206	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
ARO:3003982|ID:2519|Name:LlmA_23S_ribosomal_RNA_methyltransferase|NCBI:KX531046.1	LlmA 23S ribosomal RNA methyltransferase	3003982	protein homolog model	CARD	CARD curation	no data	no data	Paenibacillus sp.	4	0	4	13.54	117	22.00		864	Llm 23S ribosomal RNA methyltransferase	lincosamide antibiotic	antibiotic target alteration
ARO:3004683|ID:3382|Name:aadS|NCBI:M72415.1	aadS	3004683	protein homolog model	CARD	CARD curation	no data	no data	Transposon Tn4551	169	21	190	100.00	864	37.77		864	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation
ARO:3004719|ID:3401|Name:Tet(X3)|NCBI:MK134375.1	Tet(X3)	3004719	protein homolog model	CARD	CARD curation	no data	no data	Acinetobacter baumannii	89	15	104	71.47	834	2.19	ARO:3000205|ID:776|Name:tetX|NCBI:M37699	1167	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation
ARO:3004720|ID:3402|Name:Tet(X4)|NCBI:MK134376.1	Tet(X4)	3004720	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	93	10	103	76.77	889	5.66	ARO:3000205|ID:776|Name:tetX|NCBI:M37699; ARO:3005056|ID:3797|Name:Tet(X6)|NCBI:MN507533.1; ARO:3000498|ID:621|Name:ErmF|NCBI:M17124	1158	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation
